,Unnamed: 0,Price,Address,Type,Rooms,Bedrooms,Price_Numeric
19,19,40 Lkhs |,"House for rent on 8 miles of country road, suitable for family living and also suitable for opening a business office. in Mayangone, Yangon",Landed House,5,0,4000000.0
20,20,20000 Lkhs |,"Between Merchant Street and Mahabandula Road  Suitable for business, ready for sale in Kyauktada, Yangon",Flat,0,0,2000000000.0
21,21,20000 Lkhs |,"For sale between 13th and Monk Street, very convenient for business. in Lanmadaw, Yangon",Flat,0,0,2000000000.0
22,22,80 Lkhs |,"House for rent near Moe Kaung Road, ideal for residential, school, or office use. in Yankin, Yangon",Landed House,7,0,8000000.0
23,23,40 Lkhs |,"The Lake Suite Condo for rent on Kamaba Aye Pagoda Road in Mayangone, Yangon",Flat,3,2,4000000.0
24,24,40000 Lkhs |,"Near U Wisara Road, North Dagon Township in Dagon Myothit (north), Yangon",Landed House,20,0,4000000000.0
25,25,40000 Lkhs |,"Bahan Township, U Wisara Road in Bahan, Yangon",Landed House,16,0,4000000000.0
26,26,39800 Lkhs |,"Land for sale with building ready for Hotel / Motel / Guesthouse business in Dagon Myothit (south), Yangon",Landed House,16,0,3980000000.0
27,27,USD 5500 |,"A great opportunity for those who want to live in a luxury house near Inya Lake. in Mayangone, Yangon",Landed House,4,0,19250000.0
28,28,40 Lkhs |,"House for rent on 8 miles of country road, suitable for family living and also suitable for opening a business office. in Mayangone, Yangon",Landed House,5,0,4000000.0
29,29,20000 Lkhs |,"Between Merchant Street and Mahabandula Road  Suitable for business, ready for sale in Kyauktada, Yangon",Flat,0,0,2000000000.0
30,30,20000 Lkhs |,"For sale between 13th and Monk Street, very convenient for business. in Lanmadaw, Yangon",Flat,0,0,2000000000.0
31,31,80 Lkhs |,"House for rent near Moe Kaung Road, ideal for residential, school, or office use. in Yankin, Yangon",Landed House,7,0,8000000.0
32,32,40 Lkhs |,"The Lake Suite Condo for rent on Kamaba Aye Pagoda Road in Mayangone, Yangon",Flat,3,2,4000000.0
33,33,40000 Lkhs |,"Near U Wisara Road, North Dagon Township in Dagon Myothit (north), Yangon",Landed House,20,0,4000000000.0
34,34,40000 Lkhs |,"Bahan Township, U Wisara Road in Bahan, Yangon",Landed House,16,0,4000000000.0
35,35,39800 Lkhs |,"Land for sale with building ready for Hotel / Motel / Guesthouse business in Dagon Myothit (south), Yangon",Landed House,16,0,3980000000.0
36,36,USD 5500 |,"A great opportunity for those who want to live in a luxury house near Inya Lake. in Mayangone, Yangon",Landed House,4,0,19250000.0
37,37,40 Lkhs |,"House for rent on 8 miles of country road, suitable for family living and also suitable for opening a business office. in Mayangone, Yangon",Landed House,5,0,4000000.0
38,38,20000 Lkhs |,"Between Merchant Street and Mahabandula Road  Suitable for business, ready for sale in Kyauktada, Yangon",Flat,0,0,2000000000.0
39,39,20000 Lkhs |,"For sale between 13th and Monk Street, very convenient for business. in Lanmadaw, Yangon",Flat,0,0,2000000000.0
40,40,80 Lkhs |,"House for rent near Moe Kaung Road, ideal for residential, school, or office use. in Yankin, Yangon",Landed House,7,0,8000000.0
41,41,40 Lkhs |,"The Lake Suite Condo for rent on Kamaba Aye Pagoda Road in Mayangone, Yangon",Flat,3,2,4000000.0
42,42,40000 Lkhs |,"Near U Wisara Road, North Dagon Township in Dagon Myothit (north), Yangon",Landed House,20,0,4000000000.0
43,43,40000 Lkhs |,"Bahan Township, U Wisara Road in Bahan, Yangon",Landed House,16,0,4000000000.0
44,44,39800 Lkhs |,"Land for sale with building ready for Hotel / Motel / Guesthouse business in Dagon Myothit (south), Yangon",Landed House,16,0,3980000000.0
45,45,USD 5500 |,"A great opportunity for those who want to live in a luxury house near Inya Lake. in Mayangone, Yangon",Landed House,4,0,19250000.0
46,46,40 Lkhs |,"House for rent on 8 miles of country road, suitable for family living and also suitable for opening a business office. in Mayangone, Yangon",Landed House,5,0,4000000.0
47,47,20000 Lkhs |,"Between Merchant Street and Mahabandula Road  Suitable for business, ready for sale in Kyauktada, Yangon",Flat,0,0,2000000000.0
48,48,20000 Lkhs |,"For sale between 13th and Monk Street, very convenient for business. in Lanmadaw, Yangon",Flat,0,0,2000000000.0
49,49,80 Lkhs |,"House for rent near Moe Kaung Road, ideal for residential, school, or office use. in Yankin, Yangon",Landed House,7,0,8000000.0
50,50,40 Lkhs |,"The Lake Suite Condo for rent on Kamaba Aye Pagoda Road in Mayangone, Yangon",Flat,3,2,4000000.0
51,51,40000 Lkhs |,"Near U Wisara Road, North Dagon Township in Dagon Myothit (north), Yangon",Landed House,20,0,4000000000.0
52,52,40000 Lkhs |,"Bahan Township, U Wisara Road in Bahan, Yangon",Landed House,16,0,4000000000.0
53,53,39800 Lkhs |,"Land for sale with building ready for Hotel / Motel / Guesthouse business in Dagon Myothit (south), Yangon",Landed House,16,0,3980000000.0
